Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301196.lib1	15462.0	0.0	15462.0	1.0	7731.0	7731.0	683.0	660.0	14779.0	634.0	15462.0	0.0	46.0	0.0	0.0	0.0	2065550.0	1032841.0	1032709.0	97745.0	97745.0	0.0	0.0	1212.0	0.01239961	134.0	134.0	134.0	150.0	150.0	150.0	38.8	209.2	86.0	281.0	47.0	0.0	2.0	4.1	4.4172810761867805	4.268529297632907	95.58271892381322	4.100375113180701	100.0	0.0	0.29750355710774806	0.0
REF0009-mgg-pbdrep | M301197.lib1	7266.0	0.0	7266.0	1.0	3633.0	3633.0	401.0	388.0	6865.0	372.0	7266.0	0.0	9.0	0.0	0.0	0.0	980103.0	489948.0	490155.0	58589.0	58589.0	0.0	0.0	549.0	0.00937036	135.0	135.0	135.0	150.0	150.0	150.0	38.7	248.6	110.7	180.0	13.0	1.0	0.0	5.1	5.518854940820258	5.339939443985687	94.48114505917974	5.119735755573906	100.0	0.0	0.12386457473162675	0.0
REF0009-mgg-pbdrep | M301198.lib1	16417100.0	0.0	16417100.0	1.0	8208550.0	8208550.0	13973340.0	13791080.0	2443760.0	12825824.0	16417100.0	0.0	297845.0	0.0	0.0	0.0	2413889240.0	1206960137.0	1206929103.0	2054663545.0	2054663545.0	0.0	0.0	14807944.0	0.007206992	147.0	147.0	147.0	150.0	150.0	150.0	38.9	263.9	105.7	6370149.0	403412.0	4160.0	117819.0	78.1	85.11454519982213	84.00436130619903	14.885454800177863	78.12478452345421	100.0	0.0	1.8142363754865352	0.0
REF0009-mgg-pbdrep | M301199.lib1	12537982.0	0.0	12537982.0	1.0	6268991.0	6268991.0	10808105.0	10683480.0	1729877.0	10272652.0	12537982.0	0.0	226935.0	0.0	0.0	0.0	1843004289.0	921502387.0	921501902.0	1588760410.0	1588760410.0	0.0	0.0	11520310.0	0.007251131	147.0	147.0	147.0	150.0	150.0	150.0	38.9	250.5	94.0	4949584.0	335509.0	3077.0	53570.0	81.9	86.2029072940127	85.20892756107004	13.797092705987296	81.93225991232082	100.0	0.0	1.8099802663618436	0.0
REF0009-mgg-pbdrep | M301200.lib1	13816328.0	0.0	13816328.0	1.0	6908164.0	6908164.0	11896166.0	11755318.0	1920162.0	11075166.0	13816328.0	0.0	242255.0	0.0	0.0	0.0	2034102638.0	1017054042.0	1017048596.0	1751599081.0	1751599081.0	0.0	0.0	12894033.0	0.007361292	147.0	147.0	147.0	150.0	150.0	150.0	38.9	261.0	101.1	5459223.0	331543.0	2870.0	84023.0	80.2	86.10222629341168	85.08279479178549	13.897773706588321	80.15998172596944	100.0	0.0	1.7533964161823605	0.0
REF0009-mgg-pbdrep | M301201.lib1	8428836.0	0.0	8428836.0	1.0	4214418.0	4214418.0	7186647.0	7086074.0	1242189.0	6795858.0	8428836.0	0.0	165140.0	0.0	0.0	0.0	1231656091.0	615828204.0	615827887.0	1050252498.0	1050252498.0	0.0	0.0	8102538.0	0.007714848	146.0	146.0	146.0	150.0	150.0	150.0	38.9	239.0	94.1	3227722.0	274588.0	5782.0	34945.0	80.6	85.26262701041995	84.06942548176283	14.737372989580056	80.62629288314544	100.0	0.0	1.9592266358011947	0.0
REF0009-mgg-pbdrep | M301202.lib1	16503336.0	0.0	16503336.0	1.0	8251668.0	8251668.0	14073249.0	13904542.0	2430087.0	13285826.0	16503336.0	0.0	306614.0	0.0	0.0	0.0	2414477218.0	1207248051.0	1207229167.0	2058931378.0	2058931378.0	0.0	0.0	14839078.0	0.007207175	146.0	146.0	146.0	150.0	150.0	150.0	39.0	244.3	97.3	6329380.0	540901.0	4619.0	77371.0	80.5	85.27517709146805	84.25291710718366	14.724822908531948	80.50388115469502	100.0	0.0	1.857891034879251	0.0
REF0009-mgg-pbdrep | M301203.lib1	18238374.0	0.0	18238374.0	1.0	9119187.0	9119187.0	15668189.0	15486330.0	2570185.0	14809684.0	18238374.0	0.0	331816.0	0.0	0.0	0.0	2687397778.0	1343698686.0	1343699092.0	2308731307.0	2308731307.0	0.0	0.0	16038790.0	0.006947014	147.0	147.0	147.0	150.0	150.0	150.0	39.0	253.9	95.4	7198862.0	451193.0	4219.0	88891.0	81.2	85.90781722098691	84.91069434150216	14.092182779013084	81.2006815958484	100.0	0.0	1.8193288502582523	0.0
REF0009-mgg-pbdrep | M301204.lib1	1339388.0	0.0	1339388.0	1.0	669694.0	669694.0	1159863.0	1144034.0	179525.0	1057626.0	1339388.0	0.0	23645.0	0.0	0.0	0.0	197852056.0	98925690.0	98926366.0	171337507.0	171337507.0	0.0	0.0	1259342.0	0.007350066	148.0	148.0	148.0	150.0	150.0	150.0	38.9	266.3	105.7	532638.0	28378.0	479.0	10522.0	79.0	86.59649033737796	85.41468192935878	13.403509662622035	78.96337730366406	100.0	0.0	1.765358507019624	0.0
REF0009-mgg-pbdrep | M301205.lib1	450480.0	0.0	450480.0	1.0	225240.0	225240.0	372588.0	366624.0	77892.0	355628.0	450480.0	0.0	9646.0	0.0	0.0	0.0	65432389.0	32715539.0	32716850.0	54152047.0	54152047.0	0.0	0.0	466284.0	0.008610643	145.0	145.0	145.0	150.0	150.0	150.0	38.9	225.8	88.3	164029.0	17464.0	501.0	1318.0	78.9	82.70911028236547	81.38518913159297	17.29088971763452	78.94423725803588	100.0	0.0	2.1412715325874623	0.0
