Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | M301259.lib1_2	M301259.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1674004.0	246.8 Mbp	0.0	75-150	50.0	13.590133028188259	147.40571468168534	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301260.lib1_1	M301260.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34470.0	4.9 Mbp	0.0	75-150	56.0	26.115462721206846	142.17644328401508	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
fastp | M301260.lib1_2	M301260.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34470.0	4.9 Mbp	0.0	75-150	57.0	25.094284885407603	142.20800696257615	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301261.lib1_1	M301261.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20260833.0	2.9 Gbp	0.0	75-150	46.0	13.332189176594017	146.67492466869453	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301261.lib1_2	M301261.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20260833.0	2.9 Gbp	0.0	75-150	47.0	12.222304754611844	146.66010494237824	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301262.lib1_1	M301262.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7071908.0	1 Gbp	0.0	75-150	49.0	12.937586707106846	146.4108876981997	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
fastp | M301262.lib1_2	M301262.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7071908.0	1 Gbp	0.0	75-150	49.0	11.635840534507746	146.4015960049254	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
fastp | M301263.lib1_1	M301263.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	116329.0	16.2 Mbp	0.0	75-150	56.0	18.258559774432857	139.81261766197593	150	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
fastp | M301263.lib1_2	M301263.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	116329.0	16.2 Mbp	0.0	75-150	56.0	17.199494537045794	139.85422379630188	150	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
fastp | M301264.lib1_1	M301264.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120903.0	17.2 Mbp	0.0	75-150	50.0	38.901433380478565	142.58183833320928	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301264.lib1_2	M301264.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120903.0	17.2 Mbp	0.0	75-150	51.0	37.65332539308371	142.6830434315112	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301265.lib1_1	M301265.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1883937.0	271.9 Mbp	0.0	75-150	49.0	12.647009153209247	144.24999349765943	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301265.lib1_2	M301265.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1883937.0	271.9 Mbp	0.0	75-150	49.0	11.708697421702672	144.25270802579917	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301266.lib1_1	M301266.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	621740.0	91 Mbp	0.0	75-150	46.0	32.61532359172503	146.3831312124039	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301266.lib1_2	M301266.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	621740.0	91 Mbp	0.0	75-150	47.0	31.183224995266272	146.4017338437289	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301267.lib1_1	M301267.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24413.0	3.4 Mbp	0.0	75-150	53.0	21.99238110842584	140.89927497644697	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301267.lib1_2	M301267.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24413.0	3.4 Mbp	0.0	75-150	53.0	20.9888174333347	140.8765821488551	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301268.lib1_1	M301268.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	920293.0	135 Mbp	0.0	75-150	44.0	20.276688165459788	146.68039635203135	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301268.lib1_2	M301268.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	920293.0	135 Mbp	0.0	75-150	45.0	18.920931684444735	146.66520988424338	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301269.lib1_1	M301269.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14352.0	1.9 Mbp	0.0	75-150	58.0	31.103678929765888	138.50863991081383	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301269.lib1_2	M301269.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14352.0	1.9 Mbp	0.0	75-150	58.0	30.6298773690078	138.521878483835	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301270.lib1_1	M301270.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27967165.0	4.1 Gbp	0.0	75-150	42.0	21.482469195803688	147.55176286191326	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301270.lib1_2	M301270.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27967165.0	4.1 Gbp	0.0	75-150	42.0	20.271487923945603	147.53266217723535	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301271.lib1_1	M301271.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1522217.0	222 Mbp	0.0	75-150	43.0	21.86684151358235	145.80510400291155	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301271.lib1_2	M301271.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1522217.0	222 Mbp	0.0	75-150	43.0	21.313460064388824	145.79218731626307	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301272.lib1_1	M301272.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3736.0	511.9 kbp	0.0	75-150	58.0	31.905781584582442	136.86134903640257	150	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
fastp | M301272.lib1_2	M301272.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3736.0	513 kbp	0.0	75-150	58.0	31.076017130620986	137.14400428265526	150	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
fastp | M301273.lib1_1	M301273.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70786.0	10.1 Mbp	0.0	75-150	52.0	18.80597858333569	142.68089735258386	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
fastp | M301273.lib1_2	M301273.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70786.0	10.1 Mbp	0.0	75-150	52.0	17.393269855621167	142.70889723956714	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301274.lib1_1	M301274.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62927.0	8.8 Mbp	0.0	75-150	57.0	19.193668854386832	140.57774882006134	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
fastp | M301274.lib1_2	M301274.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62927.0	8.8 Mbp	0.0	75-150	57.0	18.2513070700971	140.6660733866226	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301275.lib1_1	M301275.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4079451.0	600.2 Mbp	0.0	75-150	44.0	15.074965644143987	147.08196568606903	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301275.lib1_2	M301275.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4079451.0	600.2 Mbp	0.0	75-150	45.0	14.72603138307056	147.06780103499221	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301276.lib1_1	M301276.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1423886.0	207.9 Mbp	0.0	75-150	47.0	14.73580803494794	145.97965146086133	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
fastp | M301276.lib1_2	M301276.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1423886.0	207.9 Mbp	0.0	75-150	47.0	14.151044599687928	145.97362429295603	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
